GEO.id,GEO.id2,STATE,COUNTRY,HD01_VD01,HD02_VD01
0400000US01,1,Alabama,US,4850771,*****
0400000US02,2,Alaska,US,738565,*****
0400000US04,4,Arizona,US,6809946,*****
0400000US05,5,Arkansas,US,2977944,*****
0400000US06,6,California,US,38982847,*****
0400000US08,8,Colorado,US,5436519,*****
0400000US09,9,Connecticut,US,3594478,*****
0400000US10,10,Delaware,US,943732,*****
0400000US11,11,District of Columbia,US,672391,*****
0400000US12,12,Florida,US,20278447,*****
0400000US13,13,Georgia,US,10201635,*****
0400000US15,15,Hawaii,US,1421658,*****
0400000US16,16,Idaho,US,1657375,*****
0400000US17,17,Illinois,US,12854526,*****
0400000US18,18,Indiana,US,6614418,*****
0400000US19,19,Iowa,US,3118102,*****
0400000US20,20,Kansas,US,2903820,*****
0400000US21,21,Kentucky,US,4424376,*****
0400000US22,22,Louisiana,US,4663461,*****
0400000US23,23,Maine,US,1330158,*****
0400000US24,24,Maryland,US,5996079,*****
0400000US25,25,Massachusetts,US,6789319,*****
0400000US26,26,Michigan,US,9925568,*****
0400000US27,27,Minnesota,US,5490726,*****
0400000US28,28,Mississippi,US,2986220,*****
0400000US29,29,Missouri,US,6075300,*****
0400000US30,30,Montana,US,1029862,*****
0400000US31,31,Nebraska,US,1893921,*****
0400000US32,32,Nevada,US,2887725,*****
0400000US33,33,New Hampshire,US,1331848,*****
0400000US34,34,New Jersey,US,8960161,*****
0400000US35,35,New Mexico,US,2084828,*****
0400000US36,36,New York,US,19798228,*****
0400000US37,37,North Carolina,US,10052564,*****
0400000US38,38,North Dakota,US,745475,*****
0400000US39,39,Ohio,US,11609756,*****
0400000US40,40,Oklahoma,US,3896251,*****
0400000US41,41,Oregon,US,4025127,*****
0400000US42,42,Pennsylvania,US,12790505,*****
0400000US44,44,Rhode Island,US,1056138,*****
0400000US45,45,South Carolina,US,4893444,*****
0400000US46,46,South Dakota,US,855444,*****
0400000US47,47,Tennessee,US,6597381,*****
0400000US48,48,Texas,US,27419612,*****
0400000US49,49,Utah,US,2993941,*****
0400000US50,50,Vermont,US,624636,*****
0400000US51,51,Virginia,US,8365952,*****
0400000US53,53,Washington,US,7169967,*****
0400000US54,54,West Virginia,US,1836843,*****
0400000US55,55,Wisconsin,US,5763217,*****
0400000US56,56,Wyoming,US,583200,*****
0400000US72,72,Puerto Rico,US,3468963,*****
